key;de_f;de;en
TGAR_MAS_TITLE;Fragebogen zu Wertschätzung von Musik;Fragebogen zu Wertschätzung von Musik;Music Appreciation Quesstionnaire
TGAR_MAS_PREAMBLE;Bitte beurteilen Sie die Musik auf folgenden Aspekten.;Bitte beurteilen Sie die Musik auf folgenden Aspekten.;Please assess the music in regard to the following items.
TGAR_MAS_0001_PROMPT;Der Aufbau der Musik ist rundum gelungen.;Der Aufbau der Musik ist rundum gelungen.;The construction of the music is well done.
TGAR_MAS_0002_PROMPT;Das Musikstück ist hervorragend komponiert und/oder arrangiert.;Das Musikstück ist hervorragend komponiert und/oder arrangiert.;The piece of music is excellently composed and/or arranged.
TGAR_MAS_0003_PROMPT;Dieses Musikstück ist richtig gut gemacht.;Dieses Musikstück ist richtig gut gemacht.;The piece is really well crafted.
TGAR_MAS_0004_PROMPT;Dieses Musikstück ist gut durchdacht.;Dieses Musikstück ist gut durchdacht.;The piece is really well thought-through.
TGAR_MAS_0005_PROMPT;Das ist ein richtig gutes Musikstück.;Das ist ein richtig gutes Musikstück.;This is a really good piece of music.
TGAR_MAS_0006_PROMPT;Diese Komposition bzw. diese Version der Komposition ist künstlerisch wertvoll.;Diese Komposition bzw. diese Version der Komposition  ist künstlerisch wertvoll.;This piece of music is artistically valuable.
TGAR_MAS_0007_PROMPT;Die Komponist:innen (Songwriter:innen, Producer:innen) des Stücks sind offenkundig Meister:innen ihres Fachs.;Die Komponisten/Komponistinnen (Songwriter:innen, Producer:innen) des Stücks sind offenkundig Meister:innen ihres Fachs.;The creator(s) of the piece are obviously masters of their craft.
TGAR_MAS_0008_PROMPT;Das Musikstück enthält alle Bestandteile, die für diese Musikrichtung wichtig sind;Das Musikstück enthält alle Bestandteile, die für diese Musikrichtung wichtig sind;The piece contains all the elements that are important for this style of music
TGAR_MAS_0009_PROMPT;Die Musik wäre deutlich ärmer, wenn es dieses Komposition bzw. diese Version der Komposition nicht gäbe.;Die Musik wäre deutlich ärmer, wenn es dieses Komposition bzw. diese Version der Komposition  nicht gäbe.;Music would be much poorer if this piece did not exist.
TGAR_MAS_0010_PROMPT;Leute, die sich mit dieser Musikrichtung auskennen, wären von diesem Stück begeistert.;Leute, die sich mit dieser Musikrichtung auskennen, wären von diesem Stück begeistert.;People who are familiar with this style of music would be delighted with this piece.
TGAR_MAS_0011_PROMPT;Die Musiker:innen haben eine hervorragende Spieltechnik. ;Die Musiker:innen haben eine hervorragende Spieltechnik. ;The musicians have an excellent playing technique. 
TGAR_MAS_0012_PROMPT;Die Performance war rundum gelungen.;Die Performance war rundum gelungen.;The musical interpretation was successful all round.
TGAR_MAS_0013_PROMPT;Das Spiel der Musiker:innen war sehr professionell.;Das Spiel der Musiker:innen war sehr professionell.;The musicians' playing was very professional.
TGAR_MAS_0014_PROMPT;Das Zusammenspiel der einzelnen Stimmen/Instrumente war perfekt.;Das Zusammenspiel der einzelnen Stimmen/Instrumente war perfekt.;The interaction between the musicians was perfect.
TGAR_MAS_0015_PROMPT;Die Musiker:innen haben das Stück sehr gut gespielt.;Die Musiker:innen haben das Stück sehr gut gespielt.;The musicians played the piece very well.
TGAR_MAS_0016_PROMPT;Die Musiker:innen wurden den Anforderungen des Stückes absolut gerecht.;Die Musiker:innen wurden den Anforderungen des Stückes absolut gerecht.;The musicians absolutely met the requirements of the piece.
TGAR_MAS_0017_PROMPT;Die Musiker:innen beherrschen ihre Instrumente.;Die Musiker:innen beherrschen ihre Instrumente.;The musicians are masters of their instruments.
TGAR_MAS_0018_PROMPT;Die Aufführung war künstlerisch wertvoll.;Die Aufführung war künstlerisch wertvoll.;The performance of the piece was artistically valuable.
TGAR_MAS_IE_PREAMBLE;Wie schwierig fanden Sie es, diese Fragen zu verstehen?;Wie schwierig fanden Sie es, diese Fragen zu verstehen?;How difficult was it to understand these items?
TGAR_MAS_IE5_CHOICE1;sehr leicht;sehr leicht;very easy
TGAR_MAS_IE5_CHOICE2;leicht;leicht;easy
TGAR_MAS_IE5_CHOICE3;teils/teils;teils/teils;neither easy nor hard
TGAR_MAS_IE5_CHOICE4;schwierig;schwierig;hard
TGAR_MAS_IE5_CHOICE5;sehr schwierig;sehr schwierig;very hard
